date,total_value,usdtry,gold,bist100,cds,us10y
2026-06-14,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
2026-06-14,0,0,46.2573,0,13938.5,0,4.487
